Title,Authors,Abstract,Published Year,Journal,DOI,Covidence #,perg_abstract_result,perg_fulltext_result
Differential pathogenesis of closely related 2018 Nigerian outbreak clade III Lassa virus isolates,Derek R. Stein; Bryce M. Warner; Jonathan Audet; Geoff Soule; Vinayakumar Siragam; Patrycja Sroga; Bryan D. Griffin; Anders Leung; Allen Grolla; Kevin Tierney; Alix Albietz; Darwyn Kobasa; Abdulmajid S. Musa; Adama Ahmad; Afolabi Akinpelu; Nwando Mba; Rebecca Rosenke; Dana Scott; Greg Saturday; Chikwe Ihekweazu; David Safronetz,"Nigeria continues to experience ever increasing annual outbreaks of Lassa fever (LF). The World Health Organization has recently declared Lassa virus (LASV) as a priority pathogen for accelerated research leading to a renewed international effort to develop relevant animal models of disease and effective countermeasures to reduce LF morbidity and mortality in endemic West African countries. A limiting factor in evaluating medical countermeasures against LF is a lack of well characterized animal models outside of those based on infection with LASV strain Josiah originating form Sierra Leone, circa 1976. Here we genetically characterize five recent LASV isolates collected from the 2018 outbreak in Nigeria. Three isolates were further evaluated in vivo and despite being closely related and from the same spatial / geographic region of Nigeria, only one of the three isolates proved lethal in strain 13 guinea pigs and non-human primates (NHP). Additionally, this isolate exhibited atypical pathogenesis characteristics in the NHP model, most notably respiratory failure, not commonly described in hemorrhagic cases of LF. These results suggest that there is considerable phenotypic heterogeneity in LASV infections in Nigeria, which leads to a multitude of pathogenesis characteristics that could account for differences between subclinical and lethal LF infections. Most importantly, the development of disease models using currently circulating LASV strains in West Africa are critical for the evaluation of potential vaccines and medical countermeasures.",2021.0,PLoS Pathogens,10.1371/journal.ppat.1009966,#2717,EXCLUDE,EXCLUDE
Domestic risk factors for increased rodent abundance in a Lassa fever endemic region of rural Upper Guinea,Julia Clark; Laith Yakob; Moussa Douno; Joseph Lamine; N’Faly Magassouba; Élisabeth Fichet-Calvet; Almudena Marí Sáez,"Abstract Lassa fever (LF) is a viral haemorrhagic fever endemic in West Africa and spread primarily by the multimammate rat, Mastomys natalensis . As there is no vaccine, reduction of rodent-human transmission is essential for disease control. As the household is thought to be a key site of transmission, understanding domestic risk factors for M. natalensis abundance is crucial. Rodent captures in conjunction with domestic surveys were carried out in 6 villages in an area of rural Upper Guinea with high LF endemicity. 120 rodent traps were set in rooms along a transect in each village for three nights, and the survey was administered in each household on the transects. This study was able to detect several domestic risk factors for increased rodent abundance in rural Upper Guinea. Regression analysis demonstrated that having &gt; 8 holes (RR = 1.8 [1.0004–3.2, p = 0.048), the presence of rodent burrows (RR = 2.3 [1.6–3.23, p = 0.000003), and being in a multi-room square building (RR = 2.0 [1.3–2.9], p = 0.001) were associated with increased rodent abundance. The most addressable of these may be rodent burrows, as burrow patching is a relatively simple process that may reduce rodent entry. Further study is warranted to explicitly link domestic rodent abundance to LF risk, to better characterize domestic risk factors, and to evaluate how household rodent-proofing interventions could contribute to LF control.",2021.0,Scientific Reports,10.1038/s41598-021-00113-z,#2840,INCLUDE,EXCLUDE
Innate Immune Responses to Acute Viral Infection During Pregnancy,Emily F. Cornish; Iva Filipovic; Fredrika Åsenius; David Williams; Thomas McDonnell,"Immunological adaptations in pregnancy allow maternal tolerance of the semi-allogeneic fetus but also increase maternal susceptibility to infection. At implantation, the endometrial stroma, glands, arteries and immune cells undergo anatomical and functional transformation to create the decidua, the specialized secretory endometrium of pregnancy. The maternal decidua and the invading fetal trophoblast constitute a dynamic junction that facilitates a complex immunological dialogue between the two. The decidual and peripheral immune systems together assume a pivotal role in regulating the critical balance between tolerance and defense against infection. Throughout pregnancy, this equilibrium is repeatedly subjected to microbial challenge. Acute viral infection in pregnancy is associated with a wide spectrum of adverse consequences for both mother and fetus. Vertical transmission from mother to fetus can cause developmental anomalies, growth restriction, preterm birth and stillbirth, while the mother is predisposed to heightened morbidity and maternal death. A rapid, effective response to invasive pathogens is therefore essential in order to avoid overwhelming maternal infection and consequent fetal compromise. This sentinel response is mediated by the innate immune system: a heritable, highly evolutionarily conserved system comprising physical barriers, antimicrobial peptides (AMP) and a variety of immune cells-principally neutrophils, macrophages, dendritic cells, and natural killer cells-which express pattern-receptors that detect invariant molecular signatures unique to pathogenic micro-organisms. Recognition of these signatures during acute infection triggers signaling cascades that enhance antimicrobial properties such as phagocytosis, secretion of pro-inflammatory cytokines and activation of the complement system. As well as coordinating the initial immune response, macrophages and dendritic cells present microbial antigens to lymphocytes, initiating and influencing the development of specific, long-lasting adaptive immunity. Despite extensive progress in unraveling the immunological adaptations of pregnancy, pregnant women remain particularly susceptible to certain acute viral infections and continue to experience mortality rates equivalent to those observed in pandemics several decades ago. Here, we focus specifically on the pregnancy-induced vulnerabilities in innate immunity that contribute to the disproportionately high maternal mortality observed in the following acute viral infections: Lassa fever, Ebola virus disease (EVD), dengue fever, hepatitis E, influenza, and novel coronavirus infections.",2020.0,Frontiers in Immunology,10.3389/fimmu.2020.572567,#3163,EXCLUDE,EXCLUDE
Mutational Analysis of the Lassa Virus Promoter,Meike Haß; Martina Westerkofsky; Stefanie Müller; Beate Becker‐Ziaja; Carola Busch; Stephan Günther,"ABSTRACT The promoter sequences directing viral gene expression and genome replication of arenaviruses reside within the 3′ and 5′ termini of each RNA segment. The terminal 19 nucleotides at both ends are highly conserved among all arenavirus species and are almost completely complementary to each other. This study aimed at characterizing the Lassa virus promoter in detail. The relevance of each position in the promoter was studied by site-directed mutagenesis using the Lassa virus minireplicon system. The data indicate that the Lassa virus promoter functions as a duplex, regulates transcription and replication in a coordinated manner, and is composed of two functional elements, a sequence-specific region from residue 1 to 12 and a variable complementary region from residue 13 to 19. The first region appears to interact with the replication complex mainly via base-specific interactions, while in the second region solely base pairing between 3′ and 5′ promoter ends is important for promoter function.",2006.0,Journal of Virology,10.1128/jvi.01374-06,#1245,EXCLUDE,EXCLUDE
Capturing sequence diversity in metagenomes with comprehensive and scalable probe design,Hayden C. Metsky; Katherine J. Siddle; Adrianne Gladden-Young; James Qu; David Yang; Patrick Brehio; Andrew Goldfarb; Anne Piantadosi; Shirlee Wohl; Amber Carter; Aaron E. Lin; Kayla G. Barnes; Damien C. Tully; Björn Corleis; Scott Hennigan; Giselle Barbosa-Lima; Yasmine Rangel Vieira; Lauren M. Paul; Amanda L. Tan; Kimberly García; Leda Parham; Ikponmwosa Odia; Philomena Eromon; Onikepe Folarin; Augustine Goba; Etienne Simon‐Lorière; Lisa E. Hensley; Ángel Balmaseda; Eva Harris; Douglas S. Kwon; Todd M. Allen; Jonathan A. Runstadler; Sandra Smole; Fernando A. Bozza; Thiago Moreno L. Souza; Sharon Isern; Scott F. Michael; Ivette Lorenzana; Lee Gehrke; Irene Bosch; Gregory D. Ebel; Donald S. Grant; Christian Happi; Daniel J. Park; Andreas Gnirke; Pardis C. Sabeti; Christian B. Matranga,"Metagenomic sequencing has the potential to transform microbial detection and characterization, but new tools are needed to improve its sensitivity. Here we present CATCH, a computational method to enhance nucleic acid capture for enrichment of diverse microbial taxa. CATCH designs optimal probe sets, with a specified number of oligonucleotides, that achieve full coverage of, and scale well with, known sequence diversity. We focus on applying CATCH to capture viral genomes in complex metagenomic samples. We design, synthesize, and validate multiple probe sets, including one that targets the whole genomes of the 356 viral species known to infect humans. Capture with these probe sets enriches unique viral content on average 18-fold, allowing us to assemble genomes that could not be recovered without enrichment, and accurately preserves within-sample diversity. We also use these probe sets to recover genomes from the 2018 Lassa fever outbreak in Nigeria and to improve detection of uncharacterized viral infections in human and mosquito samples. The results demonstrate that CATCH enables more sensitive and cost-effective metagenomic sequencing.",2019.0,Nature Biotechnology,10.1038/s41587-018-0006-x,#904,EXCLUDE,EXCLUDE
"Seroprevalence of anti-Lassa Virus IgG antibodies in three districts of Sierra Leone: A cross-sectional, population-based study",Donald S. Grant; Emily J. Engel; Nicole Roberts Yerkes; Lansana Kanneh; James Koninga; Michael Gbakie; Foday Alhasan; Franklyn Kanneh; Ibrahim M Kanneh; Fatima Kamara; Mambu Momoh; Mohamed Yillah; Momoh Foday; Adaora Okoli; Ashley Zeoli; Caroline Weldon; Christopher M. Bishop; Crystal Zheng; Jessica N. Hartnett; Karissa Chao; Kayla R Shore; Lilia I. Melnik; Mallory Mucci; Nell G. Bond; Philip C. Doyle; Rachael E. Yenni; Rachel M. Podgorski; Samuel Ficenec; Lina Moses; Jeffrey G. Shaffer; Robert F. Garry; John S. Schieffelin,"Background Lassa virus (LASV), the cause of the acute viral hemorrhagic illness Lassa fever (LF), is endemic in West Africa. Infections in humans occur mainly after exposure to infected excrement or urine of the rodent-host, Mastomys natalensis . The prevalence of exposure to LASV in Sierra Leone is crudely estimated and largely unknown. This cross-sectional study aimed to establish a baseline point seroprevalence of IgG antibodies to LASV in three administrative districts of Sierra Leone and identify potential risk factors for seropositivity and LASV exposure. Methodology and principal findings Between 2015 and 2018, over 10,642 participants from Kenema, Tonkolili, and Port Loko Districts were enrolled in this cross-sectional study. Previous LASV and LF epidemiological studies support classification of these districts as “endemic,” “emerging,” and “non-endemic”, respectively. Dried blood spot samples were tested for LASV antibodies by ELISA to determine the seropositivity of participants, indicating previous exposure to LASV. Surveys were administered to each participant to assess demographic and environmental factors associated with a higher risk of exposure to LASV. Overall seroprevalence for antibodies to LASV was 16.0%. In Kenema, Port Loko, and Tonkolili Districts, seroprevalences were 20.1%, 14.1%, and 10.6%, respectively. In a multivariate analysis, individuals were more likely to be LASV seropositive if they were living in Kenema District, regardless of sex, age, or occupation. Environmental factors contributed to an increased risk of LASV exposure, including poor housing construction and proximity to bushland, forested areas, and refuse. Conclusions and significance In this study we determine a baseline LASV seroprevalence in three districts which will inform future epidemiological, ecological, and clinical studies on LF and the LASV in Sierra Leone. The heterogeneity of the distribution of LASV and LF over both space, and time, can make the design of efficacy trials and intervention programs difficult. Having more studies on the prevalence of LASV and identifying potential hyper-endemic areas will greatly increase the awareness of LF and improve targeted control programs related to LASV.",2023.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0010938,#2772,INCLUDE,INCLUDE
Myristoylation of the RING Finger Z Protein Is Essential for Arenavirus Budding,Mar Perez; Dori L. Greenwald; Juan Carlos de la Torre,"ABSTRACT The arenavirus small RING finger Z protein is the main driving force of arenavirus budding. The primary structure of Z is devoid of hydrophobic transmembrane domains, but both lymphocytic choriomeningitis virus (LCMV) and Lassa fever virus Z proteins accumulate near the inner surface of the plasma membrane and are strongly membrane associated. All known arenavirus Z proteins contain a glycine (G) at position 2, which is a potential acceptor site for a myristoyl moiety. Metabolic labeling showed incorporation of [ 3 H]myristic acid by wild-type Z protein but not by the G2A mutant. The mutation G2A eliminated Z-mediated budding. Likewise, treatment with the myristoylation inhibitor 2-hydroxymyristic acid inhibited Z-mediated budding, eliminated formation of virus-like particles, and caused a dramatic reduction in virus production in LCMV-infected cells. Budding activity was restored in G2A mutant Z proteins by the addition of the myristoylation domain of the tyrosine protein kinase Src to their N termini. These findings indicate N-terminal myristoylation of Z plays a key role in arenavirus budding.",2004.0,Journal of Virology,10.1128/jvi.78.20.11443-11448.2004,#330,EXCLUDE,EXCLUDE
"Health seeking behavior after the 2013–16 Ebola epidemic: Lassa fever as a metric of persistent changes in Kenema District, Sierra Leone",Mikaela Koch; Lansana Kanneh; Paul H. Wise; Lianne M. Kurina; Foday Alhasan; Robert F. Garry; John S. Schieffelin; Jeffrey G. Shaffer; Donald S. Grant,"Background The West African Ebola epidemic of 2013–2016 killed nearly 4,000 Sierra Leoneans and devastated health infrastructure across West Africa. Changes in health seeking behavior (HSB) during the outbreak resulted in dramatic underreporting and substantial declines in hospital presentations to public health facilities, resulting in an estimated tens of thousands of additional maternal, infant, and adult deaths per year. Sierra Leone’s Kenema District, a major Ebola hotspot, is also endemic for Lassa fever (LF), another often-fatal hemorrhagic disease. Here we assess the impact of the West African Ebola epidemic on health seeking behaviors with respect to presentations to the Kenema Government Hospital (KGH) Lassa Ward, which serves as the primary health care referral center for suspected Lassa fever cases in the Eastern Province of Sierra Leone. Methodology/Principal findings Presentation frequencies for suspected Lassa fever presenting to KGH or one of its referral centers from 2011–2019 were analyzed to consider the potential impact of the West African Ebola epidemic on presentation patterns. There was a significant decline in suspected LF cases presenting to KGH following the epidemic, and a lower percentage of subjects were admitted to the KGH Lassa Ward following the epidemic. To assess general HSB, a questionnaire was developed and administered to 200 residents from 8 villages in Kenema District. Among 194 completed interviews, 151 (78%) of respondents stated they felt hospitals were safer post-epidemic with no significant differences noted among subjects according to religious background, age, gender, or education. However, 37 (19%) subjects reported decreased attendance at hospitals since the epidemic, which suggests that trust in the healthcare system has not fully rebounded. Cost was identified as a major deterrent to seeking healthcare. Conclusions/Significance Analysis of patient demographic data suggests that fewer individuals sought care for Lassa fever and other febrile illnesses in Kenema District after the West African Ebola epidemic. Re-establishing trust in health care services will require efforts beyond rebuilding infrastructure and require concerted efforts to rebuild the trust of local residents who may be wary of seeking healthcare post epidemic.",2021.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0009576,#3183,EXCLUDE,EXCLUDE
Scoping future outbreaks: a scoping review on the outbreak prediction of the WHO Blueprint list of priority diseases,Nils Jonkmans; Valérie D’Acremont; Antoine Flahault,"Background The WHO’s Research and Development Blueprint priority list designates emerging diseases with the potential to generate public health emergencies for which insufficient preventive solutions exist. The list aims to reduce the time to the availability of resources that can avert public health crises. The current SARS-CoV-2 pandemic illustrates that an effective method of mitigating such crises is the pre-emptive prediction of outbreaks. This scoping review thus aimed to map and identify the evidence available to predict future outbreaks of the Blueprint diseases. Methods We conducted a scoping review of PubMed, Embase and Web of Science related to the evidence predicting future outbreaks of Ebola and Marburg virus, Zika virus, Lassa fever, Nipah and Henipaviral disease, Rift Valley fever, Crimean-Congo haemorrhagic fever, Severe acute respiratory syndrome, Middle East respiratory syndrome and Disease X. Prediction methods, outbreak features predicted and implementation of predictions were evaluated. We conducted a narrative and quantitative evidence synthesis to highlight prediction methods that could be further investigated for the prevention of Blueprint diseases and COVID-19 outbreaks. Results Out of 3959 articles identified, we included 58 articles based on inclusion criteria. 5 major prediction methods emerged; the most frequent being spatio-temporal risk maps predicting outbreak risk periods and locations through vector and climate data. Stochastic models were predominant. Rift Valley fever was the most predicted disease. Diseases with complex sociocultural factors such as Ebola were often predicted through multifactorial risk-based estimations. 10% of models were implemented by health authorities. No article predicted Disease X outbreaks. Conclusions Spatiotemporal models for diseases with strong climatic and vectorial components, as in River Valley fever prediction, may currently best reduce the time to the availability of resources. A wide literature gap exists in the prediction of zoonoses with complex sociocultural and ecological dynamics such as Ebola, COVID-19 and especially Disease X.",2021.0,BMJ Global Health,10.1136/bmjgh-2021-006623,#3378,EXCLUDE,EXCLUDE
Multiple Circulating Infections Can Mimic the Early Stages of Viral Hemorrhagic Fevers and Possible Human Exposure to Filoviruses in Sierra Leone Prior to the 2014 Outbreak,Matthew L. Boisen; John S. Schieffelin; Augustine Goba; Darin Oottamasathien; Abigail B. Jones; Jeffrey G. Shaffer; Kathryn M. Hastie; Jessica N. Hartnett; Mambu Momoh; Mohammed Fullah; Michael Gabiki; Sidiki Safa; Michelle Zandonatti; Marnie L. Fusco; Zachary A. Bornholdt; Dafna M. Abelson; Stephen Gire; Kristian G. Andersen; Ridhi Tariyal; Mathew Stremlau; Robert W. Cross; Joan B. Geisbert; Kelly R. Pitts; Thomas W. Geisbert; Peter C. Kulakoski; Russell B. Wilson; Lee A. Henderson; Pardis C. Sabeti; Donald S. Grant; Robert F. Garry; Erica Ollmann Saphire; Luis M. Branco; Sheik Humarr Khan,"Lassa fever (LF) is a severe viral hemorrhagic fever caused by Lassa virus (LASV). The LF program at the Kenema Government Hospital (KGH) in Eastern Sierra Leone currently provides diagnostic services and clinical care for more than 500 suspected LF cases per year. Nearly two-thirds of suspected LF patients presenting to the LF Ward test negative for either LASV antigen or anti-LASV immunoglobulin M (IgM), and therefore are considered to have a non-Lassa febrile illness (NLFI). The NLFI patients in this study were generally severely ill, which accounts for their high case fatality rate of 36%. The current studies were aimed at determining possible causes of severe febrile illnesses in non-LF cases presenting to the KGH, including possible involvement of filoviruses. A seroprevalence survey employing commercial enzyme-linked immunosorbent assay tests revealed significant IgM and IgG reactivity against dengue virus, chikungunya virus, West Nile virus (WNV), Leptospira, and typhus. A polymerase chain reaction-based survey using sera from subjects with acute LF, evidence of prior LASV exposure, or NLFI revealed widespread infection with Plasmodium falciparum malaria in febrile patients. WNV RNA was detected in a subset of patients, and a 419 nt amplicon specific to filoviral L segment RNA was detected at low levels in a single patient. However, 22% of the patients presenting at the KGH between 2011 and 2014 who were included in this survey registered anti-Ebola virus (EBOV) IgG or IgM, suggesting prior exposure to this agent. The 2014 Ebola virus disease (EVD) outbreak is already the deadliest and most widely dispersed outbreak of its kind on record. Serological evidence reported here for possible human exposure to filoviruses in Sierra Leone prior to the current EVD outbreak supports genetic analysis that EBOV may have been present in West Africa for some time prior to the 2014 outbreak.",2014.0,Viral Immunology,10.1089/vim.2014.0108,#1335,EXCLUDE,EXCLUDE
World Health Organization High Priority Pathogens: Ophthalmic Disease Findings and Vision Health Perspectives,Sanjana Kuthyar; Casey Anthony; Tolulope Fashina; Steven Yeh; Jessica G. Shantha,"Recent Ebola epidemics, the ongoing COVID-19 pandemic, and emerging infectious disease threats have highlighted the importance of global infectious diseases and responses to public health emergencies. Ophthalmologists are essential health care workers who provide urgent and emergent vision care services during outbreaks and address the ocular consequences of epidemic and pandemic infectious diseases. In 2017, the World Health Organization (WHO) identified high priority pathogens likely to cause a future epidemic with the goal of guiding research and development to improve diagnostic tests, vaccines, and medicines. These measures were necessary to better inform and respond to public health emergencies. Given the ocular complications associated with emerging infectious diseases, there is a need to recognize the ophthalmic sequelae for future vision health preparedness for potential future outbreaks. The WHO High Priority pathogens list provides a roadmap for ophthalmologists and subspecialty providers that will guide strategic areas of research for clinical care and preparedness for future pandemic threats. This review summarizes these key viral pathogens, summarizes major systemic disease findings, and delineates relevant ocular complications of the WHO High Priority pathogens list, including Crimean-Congo hemorrhagic fever, Filovirus diseases (Ebola virus disease and Marburg hemorrhagic fever), human Coronaviruses, Lassa Fever, Nipah virus infection, Zika, and Rift Valley fever.",2021.0,Pathogens,10.3390/pathogens10040442,#3584,EXCLUDE,EXCLUDE
CD4 T-cell depletion prevents Lassa fever associated hearing loss in the mouse model,Junki Maruyama; Rachel A. Reyna; Megumi Kishimoto‐Urata; Shinji Urata; John T. Manning; Nantian Lin Harsell; Rebecca S. Cook; Cheng Huang; Janko Nikolich‐Žugich; Tomoko Makishima; Slobodan Paessler,"Lassa virus (LASV) is the causative agent of Lassa fever (LF), which presents as a lethal hemorrhagic disease in severe cases. LASV-induced hearing loss in survivors is a huge socioeconomic burden, however, the mechanism(s) leading to hearing loss is unknown. In this study, we evaluate in a mouse LF model the auditory function using auditory brainstem response (ABR) and distortion product otoacoustic emissions (DPOAE) to determine the mechanisms underlying LASV-induced hearing loss. In the process, we pioneered measures of ABR and DPOAE tests in rodents in biosafety level 4 (BSL-4) facilities. Our T cell depletion studies demonstrated that CD4 T-cells play an important role in LASV-induced hearing loss, while CD8 T-cells are critical for the pathogenicity in the acute phase of LASV infection. Results presented in this study may help to develop future countermeasures against acute disease and LASV-induced hearing loss.",2022.0,PLoS Pathogens,10.1371/journal.ppat.1010557,#2814,EXCLUDE,EXCLUDE
The S Genome Segment Is Sufficient to Maintain Pathogenicity in Intra-Clade Lassa Virus Reassortants in a Guinea Pig Model,Stephen R. Welch; Florine E. M. Scholte; César G. Albariño; Markus H. Kainulainen; JoAnn D. Coleman-McCray; Lisa Wiggleton Guerrero; Ayan K. Chakrabarti; John D. Klena; Stuart T. Nichol; Jessica R. Spengler; Christina F. Spiropoulou,"Genome reassortment in Lassa virus (LASV) has been reported in nature, but phenotypic consequences of this phenomenon are not well described. Here we characterize, both <i>in vitro</i> and <i>in vivo</i>, reassortment between 2 LASV strains: the prototypic 1976 Josiah strain and a more recently isolated 2015 Liberian strain. <i>In vitro</i> analysis showed that although cis- and trans-acting elements of viral RNA synthesis were compatible between strains, reassortants demonstrated different levels of viral replication. These differences were also apparent <i>in vivo</i>, as reassortants varied in pathogenicity in the guinea pig model of LASV infection. The reassortant variant containing the Josiah S segment retained the virulence of the parental Josiah strain, but the reassortant variant containing the S segment of the Liberian isolate was highly attenuated compared to both parental strains. Contrary to observations in reassortants between LASV and other arenavirus species, which suggest that L segment-encoded factors are responsible for virulence, these studies highlight a role for S segment-encoded virulence factors in disease, and also suggest that inefficient interactions between proteins of heterologous strains may limit the prevalence of reassortant LASV variants in nature.",2018.0,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2018.00240,#418,EXCLUDE,EXCLUDE
An Outbreak of Ebola Virus Disease in the Lassa Fever Zone,Augustine Goba; Sheik Humarr Khan; Mbalu Fonnie; Mohamed Fullah; Alex Moigboi; Alice Kovoma; Vandi Sinnah; Nancy Yoko; Hawa Rogers; Siddiki Safai; Mambu Momoh; Veronica Koroma; Fatima Kamara; Edwin Konowu; Mohamed Yillah; Issa French; Ibraham Mustapha; Franklyn Kanneh; Momoh Foday; Helena McCarthy; Tiangay Kallon; Mustupha Kallon; Jenneh Naiebu; Josephine Sellu; Abdul A. Jalloh; Michael Gbakie; Lansana Kanneh; James L. B. Massaly; David Kargbo; Brima Kargbo; Mohamed Vandi; Momoh Gbetuwa; Sahr M. Gevao; John Demby Sandi; Simbirie Jalloh; Donald S. Grant; Sylvia O. Blyden; Ian Crozier; John S. Schieffelin; Susan McLellan; Shevin T. Jacob; Matthew L. Boisen; Jessica N. Hartnett; Robert W. Cross; Luis M. Branco; Kristian G. Andersen; Nathan L. Yozwiak; Stephen Gire; Ridhi Tariyal; Daniel J. Park; Allyson M. Haislip; Chris Bishop; Lilia I. Melnik; William R. Gallaher; William C. Wimley; Jing He; Jeffrey G. Shaffer; Brian M. Sullivan; Sonia Grillo; Scott Oman; Courtney E. Garry; Donna Edwards; Stephanie J. McCormick; Deborah H. Elliott; Julie A. Rouelle; Chandrika B. Kannadka; Ashley A. Reyna; Benjamin T. Bradley; Haini Yu; Rachael E. Yenni; Kathryn M. Hastie; Joan B. Geisbert; Peter C. Kulakosky; Russell B. Wilson; Michael B. A. Oldstone; Kelly R. Pitts; Lee A. Henderson; James E. Robinson; Thomas W. Geisbert; Erica Ollmann Saphire; Christian Happi; Danny Asogun; Pardis C. Sabeti; Robert F. Garry,"Responding to the challenges of confronting 2 hemorrhagic fever viruses will require continued investments in the development of countermeasures (vaccines, therapeutic agents, and diagnostic assays), infrastructure, and human resources.",2016.0,The Journal of Infectious Diseases,10.1093/infdis/jiw239,#788,EXCLUDE,EXCLUDE
Lassa virus entry requires a trigger-induced receptor switch,Lucas T. Jae; Matthijs Raaben; Andrew S. Herbert; Ana I. Kuehne; Ariel S. Wirchnianski; Timothy K. Soh; Sarah H. Stubbs; Hans Janßen; Markus Daμμe; Paul Säftig; Sean P. J. Whelan; John M. Dye; Thijn R. Brummelkamp,"How Lassa virus breaks and enters Lassa virus, which spreads from rodents to humans, infecting about half a million people every year, can lead to deadly hemorrhagic fever. Like many viruses, Lassa virus binds to cell surface receptors. Jae et al. now show that to enter a cell, the virus requires a second receptor, this one inside the infected cell. This requirement sheds light on the “enigmatic resistance” of bird cells to Lassa virus observed three decades ago. Although bird cells have the cell surface receptor, the intracellular receptor cannot bind the virus, stopping it in its tracks. Science , this issue p. 1506",2014.0,Science,10.1126/science.1252480,#720,EXCLUDE,EXCLUDE
Effective Oral Favipiravir (T-705) Therapy Initiated after the Onset of Clinical Disease in a Model of Arenavirus Hemorrhagic Fever,Michelle Mendenhall; Andrew Russell; Donald F. Smee; Jeffery O. Hall; Ramona T. Skirpstunas; Yousuke Furuta; Brian B. Gowen,Our findings support further development of favipiravir for the treatment of severe arenaviral infections. The optimization of the experimental favipiravir treatment regimen in the PICV guinea pig model will inform critical future studies in the same species based on challenge with highly pathogenic arenaviruses such as Lassa and Junín.,2011.0,PLoS neglected tropical diseases,10.1371/journal.pntd.0001342,#910,EXCLUDE,EXCLUDE
Serosurveillance of viral pathogens circulating in West Africa,Aileen O’Hearn; Matthew A. Voorhees; David P. Fetterer; Nadia Wauquier; Moinya Coomber; James Bangura; Joseph N. Fair; Jean‐Paul Gonzalez; Randal J. Schoepp,"Sub-Saharan Africa is home to a variety of pathogens, but disease surveillance and the healthcare infrastructure necessary for proper management and control are severely limited. Lassa virus, the cause of Lassa fever, a severe hemorrhagic fever in humans is endemic in West Africa. In Sierra Leone at the Kenema Government Hospital Lassa Diagnostic Laboratory, up to 70 % of acute patient samples suspected of Lassa fever test negative for Lassa virus infection. This large amount of acute undiagnosed febrile illness can be attributed in part to an array of hemorrhagic fever and arthropod-borne viruses causing disease that goes undetected and untreated. To better define the nature and extent of viral pathogens infecting the Sierra Leonean population, we developed a multiplexed MAGPIX® assay to detect IgG antibodies against Lassa, Ebola, Marburg, Rift Valley fever, and Crimean-Congo hemorrhagic fever viruses as well as pan-assays for flaviviruses and alphaviruses. This assay was used to survey 675 human serum samples submitted to the Lassa Diagnostic Laboratory between 2007 and 2014. In the study population, 50.2 % were positive for Lassa virus, 5.2 % for Ebola virus, 10.7 % for Marburg virus, 1.8 % for Rift Valley fever virus, 2.0 % for Crimean-Congo hemorrhagic fever virus, 52.9 % for flaviviruses and 55.8 % for alphaviruses. These data exemplify the importance of disease surveillance and differential diagnosis for viral diseases in Sierra Leone. We demonstrate the endemic nature of some of these viral pathogens in the region and suggest that unrecognized outbreaks of viral infection have occurred.",2016.0,Virology Journal,10.1186/s12985-016-0621-4,#466,INCLUDE,INCLUDE
Simian hemorrhagic fever virus infection of rhesus macaques as a model of viral hemorrhagic fever: Clinical characterization and risk factors for severe disease,Reed F. Johnson; Lori E. Dodd; Srikanth Yellayi; Wenjuan Gu; Jennifer A. Cann; Catherine Jett; John G. Bernbaum; Dan R. Ragland; Marisa St. Claire; Russell Byrum; Jason Paragas; Joseph E. Blaney; Peter B. Jahrling,"Simian Hemorrhagic Fever Virus (SHFV) has caused sporadic outbreaks of hemorrhagic fevers in macaques at primate research facilities. SHFV is a BSL-2 pathogen that has not been linked to human disease; as such, investigation of SHFV pathogenesis in non-human primates (NHPs) could serve as a model for hemorrhagic fever viruses such as Ebola, Marburg, and Lassa viruses. Here we describe the pathogenesis of SHFV in rhesus macaques inoculated with doses ranging from 50 PFU to 500,000 PFU. Disease severity was independent of dose with an overall mortality rate of 64% with signs of hemorrhagic fever and multiple organ system involvement. Analyses comparing survivors and non-survivors were performed to identify factors associated with survival revealing differences in the kinetics of viremia, immunosuppression, and regulation of hemostasis. Notable similarities between the pathogenesis of SHFV in NHPs and hemorrhagic fever viruses in humans suggest that SHFV may serve as a suitable model of BSL-4 pathogens.",2011.0,Virology,10.1016/j.virol.2011.09.016,#682,EXCLUDE,EXCLUDE
Increased Prevalence of Lassa Fever Virus-Positive Rodents and Diversity of Infected Species Found during Human Lassa Fever Epidemics in Nigeria,Anise N. Happi; Testimony Olumade; Olusola Ogunsanya; Ayotunde E. Sijuwola; Seto Charles Ogunleye; Judith U. Oguzie; Cecilia Nwofoke; Chinedu Ugwu; Samuel J. Okoro; Patricia Otuh; Louis N. Ngele; Oluwafemi O. Ojo; Ademola Adelabu; Roseline F. Adeleye; Nicholas Oyejide; Clinton S. Njaka; Jonathan L. Heeney; Christian Happi,"Our findings show the highest LASV positivity in small rodents ever recorded and the first direct detection of LASV in Tatera spp. Our findings also indicate the abundance of LASV-infected small rodents in houses, with probable interspecies transmission through vertical and horizontal coitus routes.",2022.0,Microbiology Spectrum,10.1128/spectrum.00366-22,#2642,INCLUDE,EXCLUDE
